ID,Tipo de Dispositivo,Marca,Precio,Calificación,Fecha de Lanzamiento
53,Headphones,Marca A,1664,2.4,2019-07-23
54,Headphones,Marca E,309,2.6,2020-10-19
55,Smartphone,Marca B,717,2.2,2021-04-01
56,Smartwatch,Marca D,1699,4.1,2022-08-20
57,Laptop,Marca B,1140,4.7,2021-12-15
58,Smartwatch,Marca A,206,2.3,2020-10-06
59,Laptop,Marca A,264,4.8,2022-10-11
60,Tablet,Marca E,706,1.1,2022-10-02
61,Tablet,Marca D,1660,3.1,2019-07-06
62,Smartphone,Marca D,728,2.2,2020-02-24
63,Laptop,Marca B,1315,4.5,2021-03-09
64,Laptop,Marca A,1319,2.0,2023-02-03
65,Laptop,Marca A,1431,3.7,2022-06-21
66,Laptop,Marca B,236,4.2,2021-02-06
67,Monitor,Marca C,1052,2.7,2022-08-05
68,Monitor,Marca A,959,4.0,2022-10-23
69,Tablet,Marca D,1217,4.3,2022-06-02
70,Monitor,Marca B,850,2.5,2021-07-27
71,Smartphone,Marca B,1211,1.4,2020-07-26
72,Monitor,Marca E,260,2.0,2023-08-28
73,Headphones,Marca A,247,3.4,2021-09-27
74,Smartwatch,Marca A,684,2.9,2022-10-03
75,Laptop,Marca D,555,3.0,2024-05-16
76,Tablet,Marca C,1211,2.8,2022-05-10
77,Smartwatch,Marca D,1137,3.1,2019-09-14
78,Monitor,Marca C,1438,2.8,2024-05-26
79,Smartwatch,Marca E,1717,4.4,2023-02-08
80,Smartwatch,Marca D,1244,2.7,2019-10-09
81,Smartwatch,Marca D,1051,4.3,2021-04-30
82,Monitor,Marca A,932,3.0,2020-05-18
83,Smartwatch,Marca D,815,1.3,2023-07-25
84,Smartwatch,Marca A,832,3.6,2023-12-13
85,Smartwatch,Marca E,1032,1.8,2020-11-29
86,Smartphone,Marca C,381,4.4,2022-04-24
87,Smartwatch,Marca D,900,3.7,2021-04-23
88,Monitor,Marca E,1550,1.7,2024-03-10
89,Tablet,Marca A,1906,1.3,2020-11-28
90,Headphones,Marca C,570,1.0,2020-12-09
91,Headphones,Marca D,1408,4.6,2020-04-09
92,Headphones,Marca D,1400,1.5,2022-02-24
93,Smartphone,Marca B,1448,4.1,2023-10-15
94,Laptop,Marca D,1658,4.7,2023-05-28
95,Headphones,Marca E,1351,3.9,2020-11-07
96,Laptop,Marca D,990,3.0,2022-07-17
97,Monitor,Marca D,695,2.9,2024-03-20
98,Smartphone,Marca B,747,4.5,2021-08-24
99,Headphones,Marca B,673,3.0,2019-07-14
100,Smartphone,Marca B,753,2.7,2021-12-30
101,Laptop,Marca D,1641,1.7,2021-06-30
102,Tablet,Marca C,356,2.9,2024-04-20
103,Smartwatch,Marca C,1260,4.1,2020-11-23
104,Tablet,Marca E,1331,3.2,2023-04-01
105,Smartphone,Marca D,563,1.6,2021-02-06
106,Headphones,Marca B,1263,1.6,2020-02-03
107,Monitor,Marca C,1128,3.6,2021-11-06
108,Tablet,Marca D,523,3.2,2020-09-13
109,Tablet,Marca B,448,2.3,2019-11-26
110,Headphones,Marca E,1041,1.6,2023-05-07
111,Smartphone,Marca C,1406,1.6,2021-12-21
112,Headphones,Marca C,686,1.5,2023-04-29
113,Laptop,Marca A,1944,3.3,2021-03-13
114,Smartphone,Marca B,1106,1.4,2019-12-19
115,Tablet,Marca A,1557,4.6,2022-10-09
116,Tablet,Marca E,1343,1.3,2020-01-12
117,Monitor,Marca A,919,4.2,2020-04-27
118,Tablet,Marca D,839,4.5,2020-09-20
119,Monitor,Marca C,973,1.4,2020-12-25
120,Tablet,Marca A,886,2.7,2022-07-02
121,Laptop,Marca A,1497,2.9,2024-02-25
122,Tablet,Marca B,1414,3.3,2020-03-19
123,Monitor,Marca B,1687,3.9,2023-08-01
124,Monitor,Marca A,1794,1.1,2021-09-08
125,Monitor,Marca D,537,3.9,2019-08-08
